时间点,房间ID,耗时,倍数,茶水费,基础银,基础分,房间下限,对局类型,玩家1,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,玩家2,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,玩家3,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,是否是不洗牌做牌,正式打牌时间,玩家1机器人版本,玩家2机器人版本,玩家3机器人版本,游戏开始时间
2025-05-26 14:42:10,188,64,12,24000,1500,1,70000,0,1109861,65,机器人,地主,36000,175609,203609,0,1,1,1109915,65,机器人,农民,-18000,92200,66200,0,0,0,1109785,65,机器人,农民,-18000,94720,68720,0,0,0,是,53,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748241665
2025-05-26 14:42:23,188,59,12,24000,1500,1,70000,0,1109957,65,机器人,地主,144000,331747,467747,0,1,1,1109729,65,机器人,农民,-72000,108930,28930,0,1,1,1109925,65,机器人,农民,-72000,107255,27255,0,0,0,是,48,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748241683
2025-05-26 14:42:29,188,61,12,24000,1500,1,70000,0,1109886,65,机器人,地主,72000,126040,190040,0,0,0,1110124,65,机器人,农民,-36000,124400,80400,0,1,1,1109922,65,机器人,农民,-36000,159270,115270,0,1,1,是,37,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241687
2025-05-26 14:42:40,188,38,12,24000,1500,1,70000,0,1109992,65,机器人,地主,134530,157610,284140,0,0,0,1109956,65,机器人,农民,-72000,197840,117840,0,1,1,1110121,65,机器人,农民,-62530,70530,0,0,0,0,是,25,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241722
2025-05-26 14:43:14,188,51,12,24000,1500,1,70000,0,1109997,65,机器人,地主,72000,129473,193473,0,0,0,1109861,65,机器人,农民,-36000,203609,159609,0,1,1,1109688,65,机器人,农民,-36000,105399,61399,0,0,0,是,39,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748241742
2025-05-26 14:43:43,188,104,96,24000,1500,1,70000,0,1110133,65,机器人,地主,-89614,97615,1,0,0,0,1109743,65,机器人,农民,44807,130165,166972,0,0,0,1110141,65,机器人,农民,44807,386398,423205,0,0,0,是,91,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748241718
2025-05-26 14:43:51,188,61,24,24000,1500,1,70000,0,1109886,65,机器人,地主,182040,190040,364080,0,0,0,1109723,65,机器人,农民,-91020,131780,32760,0,0,0,1109992,65,机器人,农民,-91020,284140,185120,0,0,0,是,52,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241769
2025-05-26 14:43:54,188,69,12,24000,1500,1,70000,0,1109922,65,机器人,地主,72000,115270,179270,0,1,1,1110120,65,机器人,农民,-36000,70930,26930,0,0,0,1110124,65,机器人,农民,-36000,80400,36400,0,1,1,是,49,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241764
2025-05-26 14:44:23,188,169,96,24000,1500,1,70000,0,1110036,65,机器人,地主,-63260,71260,0,0,0,0,1109720,65,机器人,农民,31630,131460,155090,0,1,1,1109949,65,机器人,农民,31630,225935,249565,0,0,0,是,156,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748241694
2025-05-26 14:44:30,188,65,48,24000,1500,1,70000,0,1109997,65,机器人,地主,157906,193473,343379,0,0,0,1109865,65,机器人,农民,-65170,73170,0,0,0,0,1109716,65,机器人,农民,-92736,197530,96794,0,0,0,是,56,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2412,1748241804
2025-05-26 14:44:44,188,135,96,24000,1500,1,70000,0,1110115,65,机器人,地主,-155970,163970,0,0,1,1,1109768,65,机器人,农民,77985,94280,164265,0,0,0,1109866,65,机器人,农民,77985,136320,206305,0,0,0,是,121,192.168.102.45:2409,192.168.102.45:2409,192.168.102.45:2412,1748241748
2025-05-26 14:45:08,188,71,96,24000,1500,1,70000,0,1110141,65,机器人,地主,223252,423205,638457,0,0,0,1110158,65,机器人,农民,-64280,72280,0,0,0,0,1109743,65,机器人,农民,-158972,166972,0,0,0,0,是,57,192.168.102.45:2409,192.168.102.45:2409,192.168.102.45:2412,1748241836
2025-05-26 14:45:17,188,74,48,24000,1500,1,70000,0,1110201,65,机器人,地主,-111300,119300,0,0,0,0,1109671,65,机器人,农民,55650,74480,122130,0,1,1,1109875,65,机器人,农民,55650,196960,244610,0,0,0,是,61,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748241842
2025-05-26 14:45:40,188,56,12,24000,1500,1,70000,0,1109729,65,机器人,地主,36000,72220,100220,0,1,1,1109716,65,机器人,农民,-18000,96794,70794,0,0,0,1109878,65,机器人,农民,-18000,73970,47970,0,1,1,是,44,192.168.102.45:2409,192.168.102.45:2409,192.168.102.45:2412,1748241883
2025-05-26 14:45:43,188,50,12,24000,1500,1,70000,0,1109997,65,机器人,地主,144000,343379,479379,0,0,0,1110100,65,机器人,农民,-72000,159829,79829,0,1,1,1109768,65,机器人,农民,-72000,164265,84265,0,0,0,是,27,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241892
2025-05-26 14:46:15,188,98,192,24000,1500,1,70000,0,1109949,65,机器人,地主,124200,249565,365765,0,0,0,1109798,65,机器人,农民,-62110,70110,0,0,0,0,1109819,65,机器人,农民,-62090,70090,0,0,0,0,是,84,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2412,1748241876
2025-05-26 14:46:18,188,62,96,24000,1500,1,70000,0,1110123,65,机器人,地主,-64890,72890,0,0,0,0,1109693,65,机器人,农民,32445,70270,94715,0,0,0,1109922,65,机器人,农民,32445,179270,203715,0,1,1,是,49,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241915
